clean_text,category,location,status,date,name,contact
black android OPPO phone,phone,mosque,lost,26/02/2025 22:46,Adeel Khan,3109780624
brown laminated id card,id_card,library,lost,26/09/2025 17:13,Shazia Ali,3630361995
black card wallet,wallet,ab2,lost,05/03/2026 13:40,Maham Ali,3135277608
black reading glasses,glasses,cc,lost,22/04/2026 11:00,Areeba Ahmed,3806766808
black sport earbuds,earbuds,ab4,found,05/05/2025 10:05,Fiza Ahmed,3763359254
black laminated id card,id_card,garden,lost,08/09/2025 14:49,Amna Ali,3489889722
brown laminated id card,id_card,ab3,lost,07/11/2025 18:50,Talha Khan,3317416900
black business laptop,laptop,parking,lost,22/10/2025 20:09,Parveen Ali,3625968366
black touchscreen OPPO phone,phone,ab5,lost,20/09/2025 23:16,Hira Shah,3746644622
brown touchscreen OPPO phone,phone,ab2,found,01/09/2025 15:19,Akram Ahmed,3319064240
black slim laptop,laptop,ab3,lost,23/11/2025 22:37,Ayesha Khan,3151848150
black metal keys,keys,canteen,lost,21/01/2026 11:02,Ayesha Khan,3549393001
brown plastic bottle,bottle,mosque,found,12/11/2025 12:45,Qasim Ahmed,3477937960
brown slim wallet,wallet,canteen,found,23/05/2025 16:16,Noman Khan,3802784146
black tote bag,bag,love garden,found,07/04/2026 11:46,Rizwan Ali,3505323718
black laminated id card,id_card,ab3,lost,01/09/2025 14:53,Rukhsar Khan,3411249744
brown tinted glasses,glasses,ab2,lost,02/09/2025 8:36,Kamran Ahmed,3153072700
black shoulder bag,bag,ab5,found,29/10/2025 23:06,Areeba Ahmed,3824471505
brown zipped wallet,wallet,cc,found,01/03/2025 11:52,Aleena Khan,3537697411
brown card wallet,wallet,mosque,found,18/06/2025 14:15,Lubna Khan,3632044648
black small keys,keys,love garden,lost,18/04/2025 12:16,Huma Ali,3546251227
black card wallet,wallet,ab3,found,15/04/2026 10:13,Kashif Ali,3759786989
black drawstring bag,bag,mosque,found,12/03/2026 15:32,Shahzaib Ali,3471728554
brown slim OPPO phone,phone,parking,lost,22/07/2025 17:29,Ayesha Khan,3276830458
black flash usb drive,usb,ab5,lost,12/03/2025 13:03,Rida Ali,3974759688
brown Gucci bag,bag,ab1,lost,24/02/2026 10:33,Kashif Ali,3545487271
brown small keys,keys,library,found,28/01/2026 14:07,Bilawal Ali,3195686029
black sports bottle,bottle,ab1,lost,30/07/2025 16:08,Samina Ahmed,3428374037
brown metal keys,keys,hostel,lost,13/04/2025 19:05,Rauf Ahmed,3142502788
black bifold wallet,wallet,love garden,lost,13/02/2026 1:08,Amna Ali,3274324056
black USB-C charger,charger,hostel,lost,19/05/2025 18:02,Salman Khan,3327681607
black pocket notebook,notebook,ab4,lost,22/07/2025 17:12,Areeba Ahmed,3277618823
brown slim OPPO phone,phone,garden,lost,23/12/2025 14:38,Qasim Ahmed,3833439130
brown zipped wallet,wallet,ab4,lost,21/01/2026 17:22,Adnan Khan,3512536251
brown slim laptop,laptop,parking,lost,31/05/2025 0:09,Bilawal Ali,3564810950
black handheld calculator,calculator,ab1,lost,15/09/2025 20:44,Naila Khan,3320136846
black photo id card,id_card,ab2,lost,14/11/2025 13:45,Tanveer Khan,3442274807
brown zipper bag,bag,ab1,lost,29/09/2025 16:17,Iqra Khan,3708551333
brown bifold wallet,wallet,hostel,lost,08/05/2025 15:31,Nimra Khan,3471183517
brown canvas bag,bag,ab5,lost,26/04/2025 0:28,Yasir Khan,3217956656
brown wireless earbuds,earbuds,ab2,lost,06/10/2025 22:28,Tanveer Khan,3386050245
brown in-ear earbuds,earbuds,love garden,lost,24/08/2025 11:36,Hania Khan,3374760624
brown steel bottle,bottle,ab4,lost,18/02/2026 6:27,Zainab Malik,3493025744
brown touchscreen OPPO phone,phone,garden,lost,11/11/2025 14:12,Abdullah Raza,3110893023
brown android OPPO phone,phone,ab3,lost,24/04/2025 21:32,Bilal Khan,3228378085
black slim wallet,wallet,garden,lost,24/04/2025 13:03,Haroon Ahmed,3385151187
black leather-strap watch,watch,mosque,lost,16/05/2025 9:58,Shayan Ali,3614870879
black tote bag,bag,ab5,lost,13/11/2025 17:51,Naveed Khan,3984468952
black dual-sim OPPO phone,phone,ab2,lost,01/09/2025 14:25,Sidra Khan,3898320968
black portable umbrella,umbrella,canteen,found,16/06/2025 19:25,Nadia Ali,3117936637
brown student id card,id_card,hostel,lost,11/03/2025 10:54,Naila Khan,3264735546
brown tote bag,bag,garden,lost,15/05/2025 18:19,Umar Khan,3783859667
brown android OPPO phone,phone,mosque,lost,10/04/2025 16:41,Rida Ali,3226351039
brown dual-sim OPPO phone,phone,garden,lost,26/08/2025 21:47,Ahmed Raza,3918332037
brown compact earbuds,earbuds,ab5,found,20/08/2025 22:34,Rukhsar Khan,3192019238
black sport earbuds,earbuds,ab2,found,29/11/2025 17:53,Imran Ali,3535622817
black laminated id card,id_card,cc,lost,17/09/2025 13:47,Noman Khan,3565945756
brown prescription glasses,glasses,garden,lost,12/08/2025 14:58,Hania Khan,3311573997
black university id card,id_card,ab4,found,13/08/2025 14:58,Rehan Khan,3850407837
brown wireless earbuds,earbuds,ab4,lost,14/08/2025 14:58,Adnan Khan,3279717910
brown small notebook,notebook,mosque,found,15/08/2025 14:58,Akram Ahmed,3792688454
black in-ear earbuds,earbuds,canteen,found,07/10/2025 9:04,Hadia Khan,3304943669
black portable umbrella,umbrella,hostel,lost,22/09/2025 14:44,Sadia Ali,3589264304
brown android OPPO phone,phone,canteen,lost,28/01/2026 7:34,Mehwish Khan,3643614843
black compact earbuds,earbuds,library,lost,04/08/2025 21:12,Asad Ahmed,3386885313
brown pocket notebook,notebook,mosque,lost,26/11/2025 14:51,Javed Ali,3128443412
brown android OPPO phone,phone,hostel,lost,27/11/2025 14:51,Rauf Ahmed,3597414676
black pocket calculator,calculator,parking,found,09/12/2025 15:27,Shahzaib Ali,3468545073
brown slim wallet,wallet,canteen,found,10/10/2025 19:17,Kinza Ahmed,3712151846
black flash usb drive,usb,cc,found,16/04/2025 14:02,Eman Ali,3597900833
black sport earbuds,earbuds,ab3,lost,26/05/2025 14:48,Arslan Khan,3287268171
black photo id card,id_card,ab5,lost,11/03/2026 19:20,Adnan Khan,3978606630
brown slim OPPO phone,phone,love garden,lost,23/09/2025 16:54,Zain Khan,3699510995
brown laminated id card,id_card,ab5,lost,18/08/2025 16:19,Aleena Khan,3791364909
brown wrist watch,watch,library,found,12/12/2025 19:12,Farah Khan,3356724549
brown dual-sim OPPO phone,phone,parking,lost,24/04/2025 18:29,Huma Ali,3569491229
black slim wallet,wallet,ab5,lost,05/06/2025 10:01,Salman Khan,3833011089
black laminated id card,id_card,ab4,lost,15/04/2025 14:17,Shagufta Ahmed,3668354269
black folding umbrella,umbrella,garden,lost,01/09/2025 18:52,Bilawal Ali,3706714374
brown basic calculator,calculator,ab3,lost,21/08/2025 10:47,Huzaifa Ahmed,3436277683
brown rimless glasses,glasses,garden,lost,01/12/2025 9:06,Alina Khan,3168054600
brown photo id card,id_card,parking,found,19/02/2026 12:45,Lubna Khan,3567955290
brown compact umbrella,umbrella,ab5,lost,25/11/2025 2:00,Fiza Ahmed,3982753326
black bifold wallet,wallet,ab4,lost,19/12/2025 23:35,Omar Farooq,3440619381
brown water bottle,bottle,garden,lost,07/04/2026 16:47,Omar Farooq,3841731003
brown dual-sim Xiome phone,phone,ab4,found,03/02/2026 14:17,Noor Fatima,3509639553
brown drawstring bag,bag,library,lost,28/01/2026 21:15,Uzma Ahmed,3947274547
brown wireless earbuds,earbuds,ab3,lost,05/11/2025 13:21,Sadia Ali,3450994739
black basic calculator,calculator,love garden,lost,01/12/2025 17:11,Bushra Ahmed,3376421496
black android Xiome phone,phone,parking,found,01/05/2025 12:49,Sajid Khan,3196216035
black university id card,id_card,canteen,lost,28/08/2025 10:21,Haroon Ahmed,3675557292
black zipper bag,bag,canteen,found,20/03/2025 12:29,Uzma Ahmed,3232504775
brown cracked Xiome phone,phone,ab3,lost,11/07/2025 10:40,Ali Khan,3279752385
brown shoulder bag,bag,garden,lost,21/11/2025 9:34,Rida Ali,3880775419
black slim Xiome phone,phone,canteen,lost,19/08/2025 16:32,Yasir Khan,3406500345
brown tagged keys,keys,mosque,lost,26/09/2025 17:41,Noman Khan,3228437415
black slim Xiome phone,phone,hostel,found,08/04/2026 10:10,Huma Ali,3494966779
black flat keys,keys,ab3,lost,10/04/2025 12:38,Sajid Khan,3854082678
brown spiral notebook,notebook,ab5,found,04/06/2025 8:59,Komal Khan,3153856180
brown wireless earbuds,earbuds,ab3,lost,15/10/2025 12:11,Lubna Khan,3922008902
brown scientific calculator,calculator,cc,lost,07/10/2025 19:32,Zubair Ahmed,3757016587
brown analog watch,watch,ab1,found,08/10/2025 19:32,Areeba Ahmed,3866042217
brown sport earbuds,earbuds,ab3,lost,19/12/2025 14:15,Tahira Ahmed,3494471026
brown sport earbuds,earbuds,parking,lost,31/10/2025 17:16,Yasir Khan,3279685409
brown slim Xiome phone,phone,mosque,lost,08/04/2026 17:06,Minal Ahmed,3562106212
brown USB-C charger,charger,canteen,lost,11/09/2025 23:26,Salman Khan,3921439786
brown android Xiome phone,phone,mosque,found,03/02/2026 13:23,Sadia Ali,3236961555
brown portable laptop,laptop,ab4,lost,29/04/2025 10:51,Fiza Ahmed,3742430267
brown university id card,id_card,parking,lost,14/02/2026 19:25,Zainab Malik,3157548486
channel hand bag,bag,library,lost,14/04/2026 14:29,Haroon Ahmed,3352874460
black portable laptop,laptop,garden,lost,25/10/2025 21:59,Farah Khan,3561183636
brown access id card,id_card,hostel,lost,08/04/2026 13:11,Areeba Ahmed,3439088891
brown sport watch,watch,library,found,26/01/2026 19:54,Salman Khan,3550024864
black photo id card,id_card,ab1,found,13/02/2026 9:04,Zubair Ahmed,3576142427
blue bag,bag,cc,lost,19/02/2026 14:49,Taha Ali,3876133433
black wrist watch,watch,canteen,found,14/04/2025 17:04,Hira Shah,3946198765
black USB-C charger,charger,canteen,lost,05/03/2026 21:29,Ayesha Khan,3502674900
black handheld calculator,calculator,ab3,found,25/09/2025 13:22,Nimra Khan,3152618816
black steel bottle,bottle,garden,lost,27/11/2025 23:09,Shagufta Ahmed,3526380989
brown digital watch,watch,garden,found,15/11/2025 0:22,Akram Ahmed,3848274689
black android Xiome phone,phone,library,lost,15/04/2026 16:29,Omar Farooq,3641404979
black bifold wallet,wallet,hostel,lost,05/06/2025 15:15,Fiza Ahmed,3770954039
black portable laptop,laptop,parking,lost,17/11/2025 18:40,Maham Ali,3866882448
black wireless earbuds,earbuds,canteen,found,31/01/2026 19:34,Omar Farooq,3809341410
black canvas bag,bag,ab1,found,08/05/2025 12:37,Areeba Ahmed,3338702847
brown sport earbuds,earbuds,ab5,lost,24/04/2025 15:54,Irfan Ali,3439958424
brown compact laptop,laptop,hostel,found,09/12/2025 21:08,Ahsan Khan,3314670153
brown compact earbuds,earbuds,cc,lost,02/02/2026 11:48,Shazia Ali,3800788045
black hard-cover notebook,notebook,ab3,lost,27/05/2025 10:36,Farah Khan,3342967385
black in-ear earbuds,earbuds,ab5,found,11/11/2025 16:05,Zainab Malik,3312704540
brown cracked Xiome phone,phone,mosque,lost,23/04/2025 14:02,Haroon Ahmed,3839450235
brown sport watch,watch,love garden,lost,10/12/2025 10:19,Zain Khan,3249675129
black solar calculator,calculator,ab2,lost,27/05/2025 18:23,Sohail Ali,3864200183
black compact earbuds,earbuds,cc,lost,19/05/2025 12:12,Ali Khan,3521076137
brown in-ear earbuds,earbuds,mosque,found,13/05/2025 21:06,Shagufta Ahmed,3148995545
black USB-C charger,charger,mosque,lost,18/09/2025 12:28,Hafsa Ali,3896831139
headXiome phones wireless,earbuds,canteen,found,10/12/2025 12:54,Parveen Ali,3326166182
brown business laptop,laptop,ab1,lost,19/08/2025 18:37,Zainab Malik,3575000155
black wireless earbuds,earbuds,garden,lost,27/04/2026 17:14,Yasir Khan,3990374369
brown zipped wallet,wallet,mosque,found,12/08/2025 14:11,Rabia Ahmed,3906985492
black basic calculator,calculator,ab4,lost,10/11/2025 18:29,Nimra Khan,3484200289
black university id card,id_card,cc,lost,30/09/2025 13:46,Mehwish Khan,3548100709
brown reusable bottle,bottle,garden,lost,29/09/2025 11:31,Naila Khan,3715825256
black slim laptop,laptop,ab2,lost,20/04/2026 17:41,Naila Khan,3312447877
brown student id card,id_card,library,lost,01/10/2025 20:17,Anaya Ali,3834351471
brown android Xiome phone,phone,canteen,found,20/02/2026 19:18,Shagufta Ahmed,3735995091
black metal keys,keys,love garden,found,21/02/2026 19:18,Aleena Khan,3409624851
black photo id card,id_card,ab3,lost,23/10/2025 14:55,Naveed Khan,3472238840
brown access id card,id_card,ab4,lost,26/11/2025 17:59,Shahzaib Ali,3713897381
black compact earbuds,earbuds,parking,found,09/12/2025 18:45,Mehwish Khan,3335714245
brown university id card,id_card,mosque,found,22/09/2025 17:51,Junaid Ahmed,3865819013
brown photo id card,id_card,ab5,lost,23/04/2026 11:12,Nadia Ali,3557225831
brown dual-sim Xiome phone,phone,mosque,lost,18/02/2026 10:47,Naveed Khan,3195442708
black bifold wallet,wallet,parking,lost,10/11/2025 16:58,Aleena Khan,3124568789
black bifold wallet,wallet,mosque,found,11/12/2025 16:59,Hadia Khan,3870044778
black sport watch,watch,hostel,lost,11/09/2025 15:21,Qasim Ahmed,3171528713
brown bifold wallet,wallet,parking,found,14/04/2025 12:57,Hira Shah,3194973545
brown sport earbuds,earbuds,ab5,lost,17/12/2025 15:56,Qasim Ahmed,3143332476
black framed glasses,glasses,mosque,lost,22/01/2026 16:15,Sumbul Ahmed,3966534378
black tinted glasses,glasses,love garden,lost,11/02/2026 14:17,Ayesha Khan,3690446056
black steel bottle,bottle,garden,found,01/11/2025 23:59,Naveed Khan,3660723083
brown wall charger,charger,ab3,lost,16/04/2025 11:13,Adeel Khan,3826089942
black dual-sim Xiome phone,phone,ab2,lost,27/08/2025 18:45,Farhan Ahmed,3439911527
black bifold wallet,wallet,hostel,lost,09/12/2025 16:25,Umar Khan,3135108504
brown compact earbuds,earbuds,love garden,lost,01/10/2025 17:38,Mehwish Khan,3970740723
black portable umbrella,umbrella,ab3,found,02/10/2025 17:38,Anaya Ali,3632194799
black rimless glasses,glasses,ab3,lost,15/04/2025 14:10,Rida Ali,3879595129
brown slim laptop,laptop,library,found,24/05/2025 3:36,Shahzaib Ali,3734679686
brown steel bottle,bottle,cc,found,08/04/2026 2:22,Farhan Ahmed,3409835260
black lined notebook,notebook,cc,found,10/02/2026 19:14,Sobia Khan,3316664736
brown small umbrella,umbrella,mosque,lost,03/06/2025 18:02,Uzma Ahmed,3317859652
black lined notebook,notebook,parking,lost,30/05/2025 13:07,Aleena Khan,3649452877
black portable laptop,laptop,parking,lost,13/12/2024 12:05,Sajid Khan,3782426901
black bifold wallet,wallet,library,lost,19/11/2024 15:01,Sehrish Khan,3860507000
black portable charger,charger,parking,found,01/11/2024 0:30,Usman Ali,3623232057
black steel bottle,bottle,hostel,lost,02/12/2024 16:36,Asad Ahmed,3806738460
black reusable bottle,bottle,love garden,lost,06/08/2025 11:08,Shahzaib Ali,3797409874
brown portable laptop,laptop,cc,lost,28/02/2025 15:26,Noor Fatima,3702833690
black portable laptop,laptop,garden,lost,15/11/2025 14:58,Sobia Khan,3843646434
black zipped wallet,wallet,parking,found,20/11/2024 21:55,Haroon Ahmed,3808542806
black slim Xiome phone,phone,mosque,lost,15/08/2025 9:56,Rida Ali,3655275094
brown laminated id card,id_card,ab3,lost,11/02/2026 12:39,Salman Khan,3153628870
brown card wallet,wallet,parking,lost,23/05/2025 17:48,Areeba Ahmed,3358428512
brown photo id card,id_card,ab1,lost,12/12/2025 10:03,Imran Ali,3434950386
black compact laptop,laptop,ab5,lost,01/11/2025 13:01,Ali Khan,3662032635
black bifold wallet,wallet,cc,lost,04/12/2024 16:56,Ahsan Khan,3948642038
brown zipper bag,bag,ab4,lost,12/12/2025 16:44,Rizwan Ali,3862082428
brown sport watch,watch,ab5,lost,31/05/2025 0:54,Mudassir Ali,3690270704
brown leather-strap watch,watch,library,lost,27/09/2025 18:57,Shayan Ali,3480239533
brown small umbrella,umbrella,ab1,lost,05/03/2026 17:03,Hassan Ahmed,3641177650
brown laminated id card,id_card,garden,lost,14/10/2024 19:31,Qasim Ahmed,3224893329
black tinted glasses,glasses,ab1,lost,08/11/2024 1:52,Minal Ahmed,3271215473
black university id card,id_card,ab3,lost,27/04/2026 10:43,Sohail Ali,3385112142
black leather-strap watch,watch,ab4,lost,02/10/2025 20:09,Hassan Ahmed,3445518599
brown access id card,id_card,ab5,lost,03/10/2025 20:09,Parveen Ali,3200922500
black card wallet,wallet,ab5,lost,07/03/2026 0:36,Minal Ahmed,3817987313
black steel bottle,bottle,ab5,found,18/08/2025 11:53,Minal Ahmed,3387328440
black touchscreen Xiome phone,phone,love garden,lost,25/09/2025 17:56,Amna Ali,3853297469
lenovo thinkpad,laptop,hostel,lost,11/10/2025 18:45,Huzaifa Ahmed,3933306675
brown in-ear earbuds,earbuds,ab5,lost,01/10/2025 12:45,Eman Ali,3150606676
black small keys,keys,library,lost,13/01/2026 16:35,Rauf Ahmed,3907675985
black laminated id card,id_card,ab2,lost,14/10/2025 17:45,Sehrish Khan,3914958191
brown business laptop,laptop,love garden,lost,24/04/2025 15:24,Bilal Khan,3232913160
black in-ear earbuds,earbuds,parking,lost,08/04/2026 13:25,Shayan Ali,3673759884
black small umbrella,umbrella,ab1,lost,10/02/2026 22:44,Sohail Ali,3810911186
brown laminated id card,id_card,love garden,lost,14/03/2026 15:32,Noor Fatima,3507976519
brown wireless earbuds,earbuds,garden,lost,20/02/2026 17:11,Abdullah Raza,3448501341
brown compact umbrella,umbrella,garden,lost,22/01/2025 17:22,Laiba Khan,3745227135
black cable charger,charger,parking,lost,16/10/2025 10:54,Sobia Khan,3141335121
black cable charger,charger,garden,lost,26/05/2025 12:45,Shazia Ali,3931639048
black touchscreen Motorolla phone,phone,ab1,lost,15/12/2025 13:36,Sadia Ali,3240111214
black wrist watch,watch,ab2,lost,06/06/2025 21:06,Akram Ahmed,3983084805
brown touchscreen Motorolla phone,phone,ab1,lost,02/08/2025 14:36,Hadia Khan,3409655914
brown leather-strap watch,watch,parking,found,02/03/2026 15:48,Amna Ali,3347879383
black slim laptop,laptop,mosque,lost,13/11/2025 16:52,Anaya Ali,3700771666
black wrist watch,watch,hostel,lost,13/02/2025 20:09,Anum Ahmed,3768600067
black compact umbrella,umbrella,mosque,lost,14/02/2025 20:09,Hania Khan,3904669517
brown slim laptop,laptop,cc,lost,15/02/2025 20:09,Naila Khan,3946259203
brown laminated id card,id_card,ab3,lost,31/10/2025 16:41,Anum Ahmed,3800353312
brown student id card,id_card,ab2,found,18/04/2025 13:17,Sehrish Khan,3388101242
black prescription glasses,glasses,love garden,lost,18/12/2025 16:34,Huma Ali,3267324367
brown dual-sim Motorolla phone,phone,ab5,lost,30/04/2025 14:23,Kamran Ahmed,3551476523
brown student id card,id_card,ab3,lost,22/05/2025 16:56,Waleed Ahmed,3632696515
black zipped wallet,wallet,ab3,lost,12/02/2026 22:56,Tahira Ahmed,3504414949
black sport earbuds,earbuds,library,lost,20/09/2025 14:40,Mehwish Khan,3508584779
black fast charger,charger,mosque,lost,17/09/2025 16:31,Mudassir Ali,3911089271
brown photo id card,id_card,ab3,lost,21/10/2024 12:23,Huma Ali,3934267341
black tinted glasses,glasses,hostel,found,06/10/2025 16:56,Hira Shah,3877631364
brown tagged keys,keys,hostel,lost,03/10/2025 17:43,Sohail Ali,3911337700
brown tagged keys,keys,ab3,found,27/08/2025 0:14,Abdullah Raza,3113559932
black sport earbuds,earbuds,canteen,found,09/03/2026 17:44,Fiza Ahmed,3405104384
brown flash usb drive,usb,cc,lost,13/11/2025 19:21,Javed Ali,3377420890
black photo id card,id_card,ab5,found,28/08/2025 9:44,Shahzaib Ali,3115333216
brown shoulder bag,bag,canteen,lost,14/05/2025 20:28,Asad Ahmed,3757854366
brown university id card,id_card,library,found,25/11/2025 13:36,Adnan Khan,3551667782
brown student id card,id_card,canteen,lost,07/11/2024 13:31,Talha Khan,3988337735
brown spiral notebook,notebook,love garden,found,09/02/2026 23:30,Hania Khan,3359072426
brown portable laptop,laptop,canteen,lost,30/08/2025 9:42,Hassan Ahmed,3580287131
black sport watch,watch,ab3,lost,02/03/2026 16:32,Sobia Khan,3719705882
brown laminated id card,id_card,hostel,lost,21/05/2025 9:27,Laiba Khan,3530794931
black wrist watch,watch,garden,lost,18/08/2025 16:43,Waqar Ali,3927885436
brown portable usb drive,usb,ab1,lost,19/05/2025 9:49,Sajid Khan,3505747076
brown basic calculator,calculator,library,lost,24/05/2025 11:45,Rizwan Ali,3683940337
black leather wallet,wallet,ab4,lost,30/10/2025 20:03,Hassan Ahmed,3465257752
black photo id card,id_card,ab4,lost,31/01/2025 19:21,Fahad Khan,3764854031
black compact earbuds,earbuds,cc,lost,24/05/2025 15:36,Shahid Khan,3942425905
black student id card,id_card,library,lost,11/02/2025 14:12,Rauf Ahmed,3357119724
black slim laptop,laptop,love garden,lost,12/12/2025 22:59,Rukhsar Khan,3751715355
brown cracked Motorolla phone,phone,mosque,found,04/09/2025 15:02,Omar Farooq,3806653636
brown dual-sim Motorolla phone,phone,love garden,lost,05/03/2026 11:59,Naveed Khan,3766209222
brown compact earbuds,earbuds,ab4,lost,10/09/2025 22:20,Areeba Ahmed,3393764240
black digital watch,watch,cc,lost,17/04/2025 10:05,Mudassir Ali,3730399141
brown ringed keys,keys,ab2,found,26/02/2025 22:37,Parveen Ali,3359891702
black compact earbuds,earbuds,ab3,lost,17/04/2025 18:04,Mahnoor Ali,3850733972
brown wireless earbuds,earbuds,ab2,found,19/02/2026 5:48,Anum Ahmed,3385961872
brown in-ear earbuds,earbuds,ab4,lost,02/10/2025 0:39,Kiran Malik,3572473085
brown sports bottle,bottle,ab3,lost,11/07/2025 16:50,Ayesha Khan,3854151002
brown cracked Motorolla phone,phone,ab3,lost,02/05/2025 18:21,Kinza Ahmed,3156054918
black slim Motorolla phone,phone,ab5,lost,11/12/2024 16:40,Asad Ahmed,3296741265
brown small usb drive,usb,ab1,lost,17/02/2025 19:55,Rida Ali,3462097766
brown USB-C charger,charger,cc,lost,07/04/2026 22:35,Naveed Khan,3429944555
brown student id card,id_card,ab2,found,08/04/2026 22:35,Zubair Ahmed,3400811497
brown access id card,id_card,ab2,lost,09/04/2026 22:35,Sehrish Khan,3109990675
black dual-sim Motorolla phone,phone,ab5,lost,09/09/2025 21:45,Hafsa Ali,3928319266
brown university id card,id_card,love garden,lost,28/02/2025 11:20,Ayesha Khan,3836837439
black scientific calculator,calculator,canteen,found,16/07/2025 9:40,Laiba Khan,3141739768
brown bifold wallet,wallet,ab1,lost,13/02/2025 12:09,Shahid Khan,3169780737
brown photo id card,id_card,mosque,lost,10/10/2025 15:38,Junaid Ahmed,3742390575
brown zipper bag,bag,library,lost,27/04/2026 17:29,Zainab Malik,3504987523
brown wrist watch,watch,ab4,lost,05/06/2025 21:15,Talha Khan,3965405501
brown water bottle,bottle,canteen,found,24/05/2025 18:19,Javed Ali,3211654818
brown compact laptop,laptop,canteen,lost,16/05/2025 12:47,Umar Khan,3362206505
brown pocket notebook,notebook,ab3,lost,04/12/2025 20:20,Anaya Ali,3559323892
black water bottle,bottle,mosque,lost,24/10/2024 14:50,Aiman Ali,3297763829
brown business laptop,laptop,love garden,lost,22/09/2025 14:54,Akram Ahmed,3268153914
black water bottle,bottle,garden,lost,05/06/2025 15:15,Hadia Khan,3965251848
black reusable bottle,bottle,ab3,lost,28/05/2025 13:15,Parveen Ali,3963326107
brown spiral notebook,notebook,hostel,lost,22/01/2025 6:36,Farah Khan,3256104629
black flash usb drive,usb,garden,found,10/12/2024 12:23,Sidra Khan,3963082235
black solar calculator,calculator,mosque,lost,30/01/2026 21:40,Zubair Ahmed,3634927838
brown sports bottle,bottle,love garden,lost,03/11/2025 12:58,Asad Ahmed,3735035102
black reusable bottle,bottle,ab3,lost,16/09/2025 20:19,Sohail Ali,3272282626
black photo id card,id_card,ab3,lost,01/10/2025 18:43,Sadia Ali,3656212187
brown solar calculator,calculator,ab3,lost,23/04/2025 13:05,Zain Khan,3598302829
brown scientific calculator,calculator,cc,lost,23/04/2026 20:49,Junaid Ahmed,3707505982
black handheld calculator,calculator,canteen,lost,15/10/2025 14:04,Kamran Ahmed,3885438354
brown photo id card,id_card,ab4,lost,11/09/2024 10:30,Rehan Khan,3114710733
brown compact earbuds,earbuds,parking,lost,08/04/2025 8:32,Parveen Ali,3925952118
black wireless earbuds,earbuds,parking,lost,21/07/2025 15:01,Aleena Khan,3645539778
black tagged keys,keys,library,lost,12/10/2025 21:59,Komal Khan,3724835744
brown card wallet,wallet,ab3,lost,11/09/2024 17:38,Shahid Khan,3734280746
brown handheld calculator,calculator,ab2,lost,16/09/2025 9:08,Imran Ali,3934334792
black university id card,id_card,cc,lost,20/12/2025 19:14,Sidra Khan,3322484958
brown sports bottle,bottle,ab5,lost,05/06/2025 8:59,Hassan Ahmed,3710932274
black card wallet,wallet,ab5,found,10/09/2024 13:31,Mahnoor Ali,3988579866
brown leather-strap watch,watch,garden,found,26/02/2025 22:16,Saad Ahmed,3272466793
black slim wallet,wallet,ab2,found,19/05/2025 13:49,Sidra Khan,3590638696
black water bottle,bottle,canteen,lost,24/10/2025 18:09,Tanveer Khan,3984085361
brown laminated id card,id_card,ab4,lost,13/11/2024 11:53,Shagufta Ahmed,3860089065
brown student id card,id_card,garden,lost,18/09/2024 18:40,Sehrish Khan,3194429203
brown cracked Motorolla phone,phone,mosque,lost,01/10/2025 22:02,Naila Khan,3419920836
black handheld calculator,calculator,ab2,found,21/04/2026 7:59,Adeel Khan,3294495444
brown wrist watch,watch,ab5,found,20/04/2026 19:03,Mahnoor Ali,3152582740
black laminated id card,id_card,canteen,lost,29/11/2024 16:17,Kamran Ahmed,3955165150
wireless black,earbuds,garden,lost,29/10/2025 8:52,Sobia Khan,3907141591
brown small notebook,notebook,ab1,lost,19/05/2025 13:34,Komal Khan,3597168372
black student id card,id_card,hostel,lost,11/02/2026 15:47,Hira Shah,3142257686
black noise-cancelling earbuds,earbuds,ab2,lost,05/09/2024 19:49,Naila Khan,3527854984
black in-ear earbuds,earbuds,ab5,lost,06/09/2024 19:49,Parveen Ali,3724128563
black wrist watch,watch,mosque,found,04/03/2026 15:09,Daniyal Khan,3658286795
brown slim Motorolla phone,phone,cc,found,19/02/2026 13:06,Usman Ali,3300396180
black dual-sim Motorolla phone,phone,library,lost,02/06/2025 21:15,Shahzaib Ali,3897878153
black slim laptop,laptop,library,lost,09/07/2025 12:13,Sajid Khan,3562034343
brown hard-cover notebook,notebook,mosque,lost,02/10/2025 9:52,Anaya Ali,3158495268
brown card wallet,wallet,love garden,lost,18/09/2024 13:31,Bilawal Ali,3281031502
clean_text,category,location,status,date,name,contact
black faculty id card,id_card,ab5,found,22/02/2025 08:58,Fariha Hashmi,3341700239
black magnetic id card,id_card,cc,lost,17/07/2024 08:00,Tehmina Bhatti,3159970049
brown library id card,id_card,parking,lost,21/04/2026 14:55,Shahzaib Qureshi,3268900281
brown university id card,id_card,ab4,found,10/05/2024 09:13,Palwasha Cheema,3438705940
black library id card,id_card,hostel,lost,23/09/2024 13:16,Tariq Farooq,3280027644
grey institute id card,id_card,cc,lost,16/10/2024 13:50,Tahira Warraich,3317737502
brown plastic id card,id_card,mosque,lost,23/12/2025 18:54,Shahzaib Raza,3380424350
grey access id card,id_card,garden,lost,19/01/2024 18:04,Bushra Cheema,3372231836
brown photo id card,id_card,cc,lost,24/11/2025 19:17,Erum Khawaja,3133797345
grey staff id card,id_card,ab2,found,14/05/2025 22:03,Qurrat Hashmi,3366058353
